classe,imagem,mse,psnr,brisque
notumor,no-0617.jpg,2565.1912,14.0396,36.2803
notumor,no-0618.jpg,7716.6051,9.2565,39.2022
notumor,no-0619.jpg,9333.2589,8.4305,15.3763
notumor,no-0620.jpg,3920.8659,12.197,29.3266
notumor,no-0621.jpg,2999.5247,13.3603,34.5892
notumor,no-0622.jpg,6127.8273,10.2577,39.411
notumor,no-0623.jpg,6598.7869,9.9362,57.4865
notumor,no-0624.jpg,4653.4885,11.453,20.0137
notumor,no-0625.jpg,6746.0016,9.8403,21.2041
notumor,no-0626.jpg,7122.9353,9.6042,46.8635
notumor,no-0627.jpg,2978.6677,13.3906,49.1262
notumor,no-0628.jpg,8008.5081,9.0953,10.0466
notumor,no-0629.jpg,7799.2567,9.2103,24.2316
notumor,no-0630.jpg,6699.9403,9.8701,39.8426
notumor,no-0631.jpg,12146.4742,7.2863,27.0963
notumor,no-0632.jpg,2641.2204,13.9128,78.5644
notumor,no-0633.jpg,4011.536,12.0977,37.4715
notumor,no-0634.jpg,21864.9579,4.7333,37.7289
notumor,no-0635.jpg,4451.1,11.6461,48.0488
notumor,no-0636.jpg,3302.0894,12.9429,37.3822
notumor,no-0637.jpg,5924.2672,10.4045,43.8784
notumor,no-0638.jpg,5485.8747,10.7383,50.7207
notumor,no-0639.jpg,4577.4541,11.5246,47.6854
notumor,no-0640.jpg,5965.8152,10.3741,22.294
notumor,no-0641.jpg,4126.8124,11.9747,25.8012
notumor,no-0642.jpg,202.8976,25.058,86.5322
notumor,no-0643.jpg,7482.5075,9.3903,31.3447
notumor,no-0644.jpg,5268.3701,10.914,5.6325
notumor,no-0645.jpg,6604.9151,9.9321,30.3449
notumor,no-0646.jpg,6007.3338,10.344,40.2227
notumor,no-0647.jpg,7484.1059,9.3894,31.0453
notumor,no-0648.jpg,9568.7472,8.3223,37.1294
notumor,no-0649.jpg,8033.4744,9.0818,53.3336
notumor,no-0650.jpg,3947.5366,12.1675,29.8587
notumor,no-0651.jpg,6572.5997,9.9534,32.5236
notumor,no-0652.jpg,4890.6274,11.2372,29.6512
